	SPOKE	EHR
910	DB00956	4290
911	DB00956	78060
912	DB00956	24560
913	DB00956	37431
914	DB00956	3652
915	DB00956	108321
916	DB00956	42365
917	DB00956	70314
918	DB00956	42988
919	DB00956	33908
920	DB00956	31508
921	DB00956	31509
922	DB00956	77895
923	DB00956	228146
924	DB00956	254622
925	DB00956	82502
926	DB00956	11973
927	DB00956	15444
928	DB00956	43191
929	DB00956	236481
930	DB00956	253040
931	DB00956	252719
932	DB00956	252717
933	DB00956	252715
934	DB00956	221418
935	DB00956	221419
936	DB00956	221416
937	DB00956	221417
938	DB00956	221414
939	DB00956	36551
940	DB00956	36559
941	DB00956	18434
942	DB00956	30187
943	DB00956	30185
944	DB00956	8281
945	DB00956	207903
946	DB00956	39959
947	DB00956	39955
948	DB00956	37501
949	DB00956	37505
950	DB00956	40151
951	DB00956	40150
952	DB00956	31867
953	DB00956	232531
954	DB00956	33292
955	DB00956	33293
956	DB00956	33291
957	DB00956	33294
958	DB00956	89671
959	DB00956	89670
960	DB00956	38115
961	DB00956	1780
962	DB00956	35466
963	DB00956	36693
964	DB00956	238288
965	DB00956	28785
966	DB00956	227688
967	DB00956	231065
968	DB00956	7451
969	DB00956	88700
970	DB00956	42151
971	DB00956	216498
972	DB00956	216499
973	DB00956	216497
974	DB00956	20031
975	DB00956	253173
976	DB00956	198691
977	DB00956	157035
978	DB00956	157037
979	DB00956	157031
980	DB00956	157033
981	DB00956	2828
982	DB00956	254100
983	DB00956	254106
984	DB00956	34511
985	DB00956	70567
986	DB00956	11705
987	DB00956	228388
988	DB00956	252696
989	DB00956	252697
990	DB00956	252698
991	DB00956	246985
992	DB00956	27061
993	DB00956	36716
994	DB00956	102112
995	DB00956	18661
996	DB00956	76543
997	DB00956	214694
998	DB00956	214695
999	DB00956	214697
1000	DB00956	214690
1001	DB00956	214692
1002	DB00956	214693
1003	DB00956	42055
1004	DB00956	6372
1005	DB00956	102564
1006	DB00956	17282
1007	DB00956	214696
1008	DB00956	214691
1009	DB00956	214698
1010	DB00956	214699
1011	DB00956	26700
1012	DB00956	26706
1013	DB00956	77829
1014	DB00956	77827
1015	DB00956	77823
1016	DB00956	154609
1017	DB00956	243159
1018	DB00956	243158
1019	DB00956	243153
1020	DB00956	243152
1021	DB00956	243151
1022	DB00956	243150
1023	DB00956	243157
1024	DB00956	243156
1025	DB00956	243155
1026	DB00956	243154
1027	DB00956	82577
1028	DB00956	10834
1029	DB00956	10837
1030	DB00956	29382
1031	DB00956	4579
1032	DB00956	232201
1033	DB00956	39733
1034	DB00956	15499
1035	DB00956	162419
1036	DB00956	162417
1037	DB00956	162415
1038	DB00956	162413
1039	DB00956	162411
1040	DB00956	221441
1041	DB00956	221440
1042	DB00956	221443
1043	DB00956	221442
1044	DB00956	221445
1045	DB00956	221444
1046	DB00956	36811
1047	DB00956	32387
1048	DB00956	20950
1049	DB00956	37254
1050	DB00956	25826
1051	DB00956	4575
1052	DB00956	88433
1053	DB00956	29842
1054	DB00956	12573
1055	DB00956	12571
1056	DB00956	231936
1057	DB00956	220183
1058	DB00956	11166
1059	DB00956	11167
1060	DB00956	16249
1061	DB00956	220210
1062	DB00956	244180
1063	DB00956	244188
1064	DB00956	238848
1065	DB00956	231037
1066	DB00956	77465
1067	DB00956	76786
1068	DB00956	230146
1069	DB00956	235013
1070	DB00956	35613
1071	DB00956	223678
1072	DB00956	223679
1073	DB00956	37446
1074	DB00956	228376
1075	DB00956	36215
1076	DB00956	36214
1077	DB00956	232653
1078	DB00956	30084
1079	DB00956	30082
1080	DB00956	30083
1081	DB00956	30081
1082	DB00956	43503
1083	DB00956	77638
1084	DB00956	204869
1085	DB00956	238523
1086	DB00956	43208
1087	DB00956	229845
1088	DB00956	15623
1089	DB00956	78022
1090	DB00956	78023
1091	DB00956	234201
1092	DB00956	109137
1093	DB00956	237018
1094	DB00956	70466
1095	DB00956	254260
1096	DB00956	254262
1097	DB00956	243276
1098	DB00956	243277
1099	DB00956	243274
1100	DB00956	243275
1101	DB00956	243270
1102	DB00956	243271
1103	DB00956	243278
1104	DB00956	243279
1105	DB00956	227624
1106	DB00956	77875
1107	DB00956	238796
1108	DB00956	236324
1109	DB00956	22221
1110	DB00956	27332
1111	DB00956	218234
